node,level,C
0.000000000000000000e+00,0.000000000000000000e+00,3.999999999997589484e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.366878009840242214e+00
2.000000000000000000e+00,2.000000000000000000e+00,4.243947967566365498e-01
3.000000000000000000e+00,2.000000000000000000e+00,4.588889783923436050e-01
4.000000000000000000e+00,3.000000000000000000e+00,1.500069358548649090e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.567443036259070499e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.500391486789003637e-01
7.000000000000000000e+00,4.000000000000000000e+00,4.923793738144825738e-02
8.000000000000000000e+00,4.000000000000000000e+00,4.813403887275548299e-02
9.000000000000000000e+00,4.000000000000000000e+00,4.724339706189420451e-02
1.000000000000000000e+01,4.000000000000000000e+00,4.839062351600314366e-02
1.100000000000000000e+01,4.000000000000000000e+00,4.916174651817875607e-02
1.200000000000000000e+01,5.000000000000000000e+00,1.489878670941562414e-02
1.300000000000000000e+01,5.000000000000000000e+00,1.471093130108564080e-02
1.400000000000000000e+01,5.000000000000000000e+00,1.521374177633962391e-02
1.500000000000000000e+01,5.000000000000000000e+00,1.489017050162816033e-02
1.600000000000000000e+01,5.000000000000000000e+00,1.476325455044277465e-02
1.700000000000000000e+01,5.000000000000000000e+00,1.463866042477155426e-02
1.800000000000000000e+01,5.000000000000000000e+00,1.554086091968896050e-02
1.900000000000000000e+01,5.000000000000000000e+00,1.503559594470370818e-02
2.000000000000000000e+01,6.000000000000000000e+00,5.411553139929842389e-03
2.100000000000000000e+01,6.000000000000000000e+00,5.401863878879941717e-03
2.200000000000000000e+01,6.000000000000000000e+00,5.106926191163780465e-03
2.300000000000000000e+01,6.000000000000000000e+00,5.450555330113140105e-03
2.400000000000000000e+01,6.000000000000000000e+00,5.784161794465760009e-03
2.500000000000000000e+01,6.000000000000000000e+00,5.181096557759860485e-03
2.600000000000000000e+01,6.000000000000000000e+00,5.493197698225130501e-03
2.700000000000000000e+01,6.000000000000000000e+00,5.530354274248481909e-03
2.800000000000000000e+01,6.000000000000000000e+00,5.509448855163336968e-03
2.900000000000000000e+01,6.000000000000000000e+00,5.330878898145897764e-03
3.000000000000000000e+01,6.000000000000000000e+00,5.389521073841835840e-03
3.100000000000000000e+01,6.000000000000000000e+00,5.224918795469387679e-03
3.200000000000000000e+01,6.000000000000000000e+00,5.403004152582064484e-03
